ObjectID,Loc_name,Status,Score,Match_type,Match_addr,LongLabel,ShortLabel,Addr_type,Type,PlaceName,Place_addr,Phone,URL,Rank,AddBldg,AddNum,AddNumFrom,AddNumTo,AddRange,Side,StPreDir,StPreType,StName,StType,StDir,BldgType,BldgName,LevelType,LevelName,UnitType,UnitName,SubAddr,StAddr,Block,Sector,Nbrhd,District,City,MetroArea,Subregion,Region,RegionAbbr,Territory,Zone,Postal,PostalExt,Country,CntryName,LangCode,Distance,X,Y,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax,ExInfo,StrucType,StrucDet,IN_Address,IN_Address2,IN_Address3,IN_Neighborhood,IN_City,IN_Subregion,IN_Region,IN_Postal,IN_PostalExt,IN_CountryCode,USER_Siren_Number,USER_Street_Address,USER_City,USER_State,USER_Zip_Code,USER_In_City_Limits_,USER_Pike_Road_
11,World,M,100,A,"307 E Vandiver Blvd, Montgomery, Alabama, 36110","307 E Vandiver Blvd, Montgomery, AL, 36110, USA",307 E Vandiver Blvd,PointAddress,,,"307 E Vandiver Blvd, Montgomery, Alabama, 36110",,,20,,307,,,,,E,,Vandiver,Blvd,,,,,,,,,307 E Vandiver Blvd,,,,,Montgomery,,Montgomery County,Alabama,AL,,,36110,1815,USA,United States,ENG,0,-86.278875836301,32.417599946455,-86.278842979241,32.418834014059,-86.279842979241,-86.277842979241,32.417834014059,32.419834014059,,Commercial,,307 E. Vandiver Blvd,,,,Montgomery,,Alabama,36110,,,5301218,307 E. Vandiver Blvd,Montgomery,Alabama,36110,Yes,No
12,World,M,100,A,"209 Perry Hill Rd, Montgomery, Alabama, 36109","209 Perry Hill Rd, Montgomery, AL, 36109, USA",209 Perry Hill Rd,PointAddress,,,"209 Perry Hill Rd, Montgomery, Alabama, 36109",,,20,,209,,,,,,,Perry Hill,Rd,,,,,,,,,209 Perry Hill Rd,,,,,Montgomery,,Montgomery County,Alabama,AL,,,36109,3725,USA,United States,ENG,0,-86.246554714742,32.379607671117,-86.245196008238,32.380051995805,-86.246196008238,-86.244196008238,32.379051995805,32.381051995805,,Commercial,,209 Perry Hill Rd.,,,,Montgomery,,Alabama,36109,,,5301207,209 Perry Hill Rd.,Montgomery,Alabama,36109,Yes,No
13,World,M,100,A,"7700 Block of Atlanta Hwy, Montgomery, Alabama, 36117","7700 Block of Atlanta Hwy, Montgomery, AL, 36117, USA",7700 Block of Atlanta Hwy,StreetMidBlock,,,"7700 Block of Atlanta Hwy, Montgomery, Alabama, 36117",,,20,,7700,7714,7780,7714-7780,,,,Atlanta,Hwy,,,,,,,,,7700 Block of Atlanta Hwy,,,,,Montgomery,,Montgomery County,Alabama,AL,,,36117,4241,USA,United States,ENG,0,-86.161963433758,32.381457280971,-86.161963433758,32.381457280971,-86.163552462052,-86.160425506847,32.380227640137,32.382570501214,,,,7700 blk. Atlanta Hwy.,,,,Montgomery,,Alabama,36117,,,5301220,7700 blk. Atlanta Hwy.,Montgomery,Alabama,36117,Yes,No
14,World,M,100,A,"1837 Upper Wetumpka Rd, Montgomery, Alabama, 36107","1837 Upper Wetumpka Rd, Montgomery, AL, 36107, USA",1837 Upper Wetumpka Rd,PointAddress,,,"1837 Upper Wetumpka Rd, Montgomery, Alabama, 36107",,,20,,1837,,,,,,,Upper Wetumpka,Rd,,,,,,,,,1837 Upper Wetumpka Rd,,,,,Montgomery,,Montgomery County,Alabama,AL,,,36107,1333,USA,United States,ENG,0,-86.282214515974,32.386035543115,-86.282739977484,32.387281010108,-86.283739977484,-86.281739977484,32.386281010108,32.388281010108,,Commercial,Medical,1837 Upper Wetumpka Rd,,,,Montgomery,,Alabama,36107,,,5301230,1837 Upper Wetumpka Rd,Montgomery,Alabama,36107,Yes,No
15,World,M,100,A,"Vaughn Rd & Perry Hill Rd, Montgomery, Alabama, 36106","Vaughn Rd & Perry Hill Rd, Montgomery, AL, 36106, USA",Vaughn Rd & Perry Hill Rd,StreetInt,,,"Vaughn Rd & Perry Hill Rd, Montgomery, Alabama, 36106",,,20,,,,,,,,,,,,,,,,,,,Vaughn Rd & Perry Hill Rd,,,,,Montgomery,,Montgomery County,Alabama,AL,,,36106,,USA,United States,ENG,0,-86.243962611185,32.350887918077,-86.243962611185,32.350887918077,-86.244962611185,-86.242962611185,32.349887918077,32.351887918077,,,,Vaughn Rd. @ Perry Hill Rd,,,,Montgomery,,Alabama,36106,,,5301206,Vaughn Rd. @ Perry Hill Rd,Montgomery,Alabama,36106,Yes,No
16,World,M,100,A,"5055 Carmichael Rd, Montgomery, Alabama, 36106","5055 Carmichael Rd, Montgomery, AL, 36106, USA",5055 Carmichael Rd,PointAddress,,,"5055 Carmichael Rd, Montgomery, Alabama, 36106",,,20,,5055,,,,,,,Carmichael,Rd,,,,,,,,,5055 Carmichael Rd,,,,,Montgomery,,Montgomery County,Alabama,AL,,,36106,2902,USA,United States,ENG,0,-86.219230129486,32.359815273602,-86.219233985161,32.36015298048,-86.220233985161,-86.218233985161,32.35915298048,32.36115298048,,Commercial,,5055 Carmichael Rd.,,,,Montgomery,,Alabama,36106,,,5301231,5055 Carmichael Rd.,Montgomery,Alabama,36106,Yes,No
17,World,M,100,A,"1329 E Fairview Ave, Montgomery, Alabama, 36106","1329 E Fairview Ave, Montgomery, AL, 36106, USA",1329 E Fairview Ave,PointAddress,,,"1329 E Fairview Ave, Montgomery, Alabama, 36106",,,20,,1329,,,,,E,,Fairview,Ave,,,,,,,,,1329 E Fairview Ave,,,,,Montgomery,,Montgomery County,Alabama,AL,,,36106,2111,USA,United States,ENG,0,-86.286908381752,32.352084770031,-86.286908968485,32.352357014246,-86.287908968485,-86.285908968485,32.351357014246,32.353357014246,,Commercial,,1329 E. Fairview Av.,,,,Montgomery,,Alabama,36106,,,5301234,1329 E. Fairview Av.,Montgomery,Alabama,36106,Yes,No
18,World,M,100,A,"7300 University Dr, Montgomery, Alabama, 36117","7300 University Dr, Montgomery, AL, 36117, USA",7300 University Dr,StreetAddress,,,"7300 University Dr, Montgomery, Alabama, 36117",,,20,,7300,7300,7300,7300-7300,R,,,University,Dr,,,,,,,,,7300 University Dr,,,,,Montgomery,,Montgomery County,Alabama,AL,,,36117,3531,USA,United States,ENG,0,-86.172278705762,32.368478460956,-86.172278705762,32.368478460956,-86.173278705762,-86.171278705762,32.367478460956,32.369478460956,,,,7300 University Dr.,,,,Montgomery,,Alabama,36117,,,5301237,7300 University Dr.,Montgomery,Alabama,36117,Yes,No
19,World,M,100,A,"3510 Harrison Rd, Montgomery, Alabama, 36109","3510 Harrison Rd, Montgomery, AL, 36109, USA",3510 Harrison Rd,PointAddress,,,"3510 Harrison Rd, Montgomery, Alabama, 36109",,,20,,3510,,,,,,,Harrison,Rd,,,,,,,,,3510 Harrison Rd,,,,,Montgomery,,Montgomery County,Alabama,AL,,,36109,5134,USA,United States,ENG,0,-86.252089620685,32.367028446108,-86.252082998982,32.366580014288,-86.253082998982,-86.251082998982,32.365580014288,32.367580014288,,Commercial,,3510 Harrison Rd.,,,,Montgomery,,Alabama,36109,,,5301236,3510 Harrison Rd.,Montgomery,Alabama,36109,Yes,No
20,World,M,100,A,"5345 Atlanta Hwy, Montgomery, Alabama, 36109","5345 Atlanta Hwy, Montgomery, AL, 36109, USA",5345 Atlanta Hwy,PointAddress,,,"5345 Atlanta Hwy, Montgomery, Alabama, 36109",,,20,,5345,,,,,,,Atlanta,Hwy,,,,,,,,,5345 Atlanta Hwy,,,,,Montgomery,,Montgomery County,Alabama,AL,,,36109,3323,USA,United States,ENG,0,-86.216397130031,32.381920280113,-86.216433004577,32.384128995419,-86.217433004577,-86.215433004577,32.383128995419,32.385128995419,,Commercial,,5345 Atlanta Hwy,,,,Montgomery,,Alabama,36109,,,5301243,5345 Atlanta Hwy,Montgomery,Alabama,36109,Yes,No
21,World,M,100,A,"440 Dalraida Rd, Montgomery, Alabama, 36109","440 Dalraida Rd, Montgomery, AL, 36109, USA",440 Dalraida Rd,PointAddress,,,"440 Dalraida Rd, Montgomery, Alabama, 36109",,,20,,440,,,,,,,Dalraida,Rd,,,,,,,,,440 Dalraida Rd,,,,,Montgomery,,Montgomery County,Alabama,AL,,,36109,2838,USA,United States,ENG,0,-86.245441095086,32.390547940689,-86.244384975286,32.390485998425,-86.245384975286,-86.243384975286,32.389485998425,32.391485998425,,Commercial,,440 Dalraida Rd,,,,Montgomery,,Alabama,36109,,,5301247,440 Dalraida Rd,Montgomery,Alabama,36109,Yes,No
22,World,M,100,A,"2811 Willena Ave, Montgomery, Alabama, 36107","2811 Willena Ave, Montgomery, AL, 36107, USA",2811 Willena Ave,StreetAddress,,,"2811 Willena Ave, Montgomery, Alabama, 36107",,,20,,2811,2801,2829,2801-2829,L,,,Willena,Ave,,,,,,,,,2811 Willena Ave,,,,,Montgomery,,Montgomery County,Alabama,AL,,,36107,1055,USA,United States,ENG,0,-86.278517491893,32.399150866528,-86.278517491893,32.399150866528,-86.279517491893,-86.277517491893,32.398150866528,32.400150866528,,,,2811 Willena Ave.,,,,Montgomery,,Alabama,36107,,,5301255,2811 Willena Ave.,Montgomery,Alabama,36107,Yes,No
23,World,M,100,A,"3670 Coosada Ferry Rd, Montgomery, Alabama, 36110","3670 Coosada Ferry Rd, Montgomery, AL, 36110, USA",3670 Coosada Ferry Rd,PointAddress,,,"3670 Coosada Ferry Rd, Montgomery, Alabama, 36110",,,20,,3670,,,,,,,Coosada Ferry,Rd,,,,,,,,,3670 Coosada Ferry Rd,,,,,Montgomery,,Montgomery County,Alabama,AL,,,36110,1034,USA,United States,ENG,0,-86.283761899119,32.442014125382,-86.283345989084,32.442192995195,-86.284345989084,-86.282345989084,32.441192995195,32.443192995195,,Commercial,,3670 Coosada Ferry Rd.,,,,Montgomery,,Alabama,36110,,,5301253,3670 Coosada Ferry Rd.,Montgomery,Alabama,36110,Yes,No
24,World,M,100,A,"2685 Bell Rd, Montgomery, Alabama, 36117","2685 Bell Rd, Montgomery, AL, 36117, USA",2685 Bell Rd,PointAddress,,,"2685 Bell Rd, Montgomery, Alabama, 36117",,,20,,2685,,,,,,,Bell,Rd,,,,,,,,,2685 Bell Rd,,,,,Montgomery,,Montgomery County,Alabama,AL,,,36117,4332,USA,United States,ENG,0,-86.195225364619,32.342022295269,-86.194865026602,32.341929004687,-86.195865026602,-86.193865026602,32.340929004687,32.342929004687,,Commercial,,2685 Bell Rd.,,,,Montgomery,,Alabama,36117,,,5301249,2685 Bell Rd.,Montgomery,Alabama,36117,Yes,No
25,World,M,100,A,"Ann St & Spruce St, Montgomery, Alabama, 36107","Ann St & Spruce St, Montgomery, AL, 36107, USA",Ann St & Spruce St,StreetInt,,,"Ann St & Spruce St, Montgomery, Alabama, 36107",,,20,,,,,,,,,,,,,,,,,,,Ann St & Spruce St,,,,,Montgomery,,Montgomery County,Alabama,AL,,,36107,,USA,United States,ENG,0,-86.271368500903,32.365013981408,-86.271368500903,32.365013981408,-86.272368500903,-86.270368500903,32.364013981408,32.366013981408,,,,Ann St. @ Spruce St.,,,,Montgomery,,Alabama,36107,,,5301254,Ann St. @ Spruce St.,Montgomery,Alabama,36107,Yes,No
26,World,M,100,A,"858 Anderson Rd, Montgomery, Alabama, 36110","858 Anderson Rd, Montgomery, AL, 36110, USA",858 Anderson Rd,StreetAddress,,,"858 Anderson Rd, Montgomery, Alabama, 36110",,,20,,858,800,948,800-948,R,,,Anderson,Rd,,,,,,,,,858 Anderson Rd,,,,,Montgomery,,Montgomery County,Alabama,AL,,,36110,3724,USA,United States,ENG,0,-86.220471010688,32.454502521052,-86.220471010688,32.454502521052,-86.221471010688,-86.219471010688,32.453502521052,32.455502521052,,,,858 Anderson Road,,,,Montgomery,,Alabama,36110,,,5301270,858 Anderson Road,Montgomery,Alabama,36110,No,No
27,World,M,100,A,"4000 Fieldcrest Dr, Montgomery, Alabama, 36111","4000 Fieldcrest Dr, Montgomery, AL, 36111, USA",4000 Fieldcrest Dr,PointAddress,,,"4000 Fieldcrest Dr, Montgomery, Alabama, 36111",,,20,,4000,,,,,,,Fieldcrest,Dr,,,,,,,,,4000 Fieldcrest Dr,,,,,Montgomery,,Montgomery County,Alabama,AL,,,36111,3100,USA,United States,ENG,0,-86.251012127032,32.329817531784,-86.251307002386,32.329810993899,-86.252307002386,-86.250307002386,32.3288109939,32.330810993899,,Mixed,,4000 Fieldcrest Dr.,,,,Montgomery,,Alabama,36111,,,5301308,4000 Fieldcrest Dr.,Montgomery,Alabama,36111,Yes,No
28,World,M,100,A,"1501 Parkview Dr S, Montgomery, Alabama, 36117","1501 Parkview Dr S, Montgomery, AL, 36117, USA",1501 Parkview Dr S,PointAddress,,,"1501 Parkview Dr S, Montgomery, Alabama, 36117",,,20,,1501,,,,,,,Parkview,Dr,S,,,,,,,,1501 Parkview Dr S,,,,,Montgomery,,Montgomery County,Alabama,AL,,,36117,7744,USA,United States,ENG,0,-86.164526979515,32.352872417473,-86.163496005425,32.352845008649,-86.164496005425,-86.162496005425,32.351845008649,32.353845008649,,Commercial,,1501 Parkview Dr. South,,,,Montgomery,,Alabama,36117,,,5301277,1501 Parkview Dr. South,Montgomery,Alabama,36117,Yes,No
29,World,M,100,A,"300 Brown Springs Rd, Montgomery, Alabama, 36117","300 Brown Springs Rd, Montgomery, AL, 36117, USA",300 Brown Springs Rd,PointAddress,,,"300 Brown Springs Rd, Montgomery, Alabama, 36117",,,20,,300,,,,,,,Brown Springs,Rd,,,,,,,,,300 Brown Springs Rd,,,,,Montgomery,,Montgomery County,Alabama,AL,,,36117,7004,USA,United States,ENG,0,-86.184219003741,32.3772319883,-86.184219003741,32.3772319883,-86.185219003741,-86.183219003741,32.3762319883,32.3782319883,,Commercial,Recreation,300 Brown Springs Rd.,,,,Montgomery,,Alabama,36117,,,5301275,300 Brown Springs Rd.,Montgomery,Alabama,36117,Yes,No
30,World,M,100,A,"50 Ocala Dr, Montgomery, Alabama, 36117","50 Ocala Dr, Montgomery, AL, 36117, USA",50 Ocala Dr,PointAddress,,,"50 Ocala Dr, Montgomery, Alabama, 36117",,,20,,50,,,,,,,Ocala,Dr,,,,,,,,,50 Ocala Dr,,,,,Montgomery,,Montgomery County,Alabama,AL,,,36117,4139,USA,United States,ENG,0,-86.143286482498,32.378600753089,-86.143099985152,32.378658001487,-86.144099985152,-86.142099985152,32.377658001487,32.379658001487,,Commercial,Recreation,50 Ocala Dr.,,,,Montgomery,,Alabama,36117,,,5301312,50 Ocala Dr.,Montgomery,Alabama,36117,Yes,No
31,World,M,100,A,"20 Line Creek Rd, Montgomery, Alabama, 36117","20 Line Creek Rd, Montgomery, AL, 36117, USA",20 Line Creek Rd,PointAddress,,,"20 Line Creek Rd, Montgomery, Alabama, 36117",,,20,,20,,,,,,,Line Creek,Rd,,,,,,,,,20 Line Creek Rd,,,,,Montgomery,,Montgomery County,Alabama,AL,,,36117,5881,USA,United States,ENG,0,-86.060063906973,32.368551647462,-86.060034989407,32.368829004638,-86.061034989407,-86.059034989407,32.367829004638,32.369829004638,,Commercial,,20 Line Crk Rd.,,,,Montgomery,,Alabama,36117,,,5301302,20 Line Crk Rd.,Montgomery,Alabama,36117,Yes,No
32,World,M,100,A,"8700 Minnie Brown Rd, Montgomery, Alabama, 36117","8700 Minnie Brown Rd, Montgomery, AL, 36117, USA",8700 Minnie Brown Rd,PointAddress,,,"8700 Minnie Brown Rd, Montgomery, Alabama, 36117",,,20,,8700,,,,,,,Minnie Brown,Rd,,,,,,,,,8700 Minnie Brown Rd,,,,,Montgomery,,Montgomery County,Alabama,AL,,,36117,7808,USA,United States,ENG,0,-86.140307973204,32.355829008089,-86.140307973204,32.355829008089,-86.141307973204,-86.139307973204,32.354829008089,32.356829008089,,Commercial,Recreation,8700 Minnie Brown Rd.,,,,Montgomery,,Alabama,36117,,,5301311,8700 Minnie Brown Rd.,Montgomery,Alabama,36117,Yes,No
33,World,M,100,A,"696 Georgia Washington Rd, Pike Road, Alabama, 36064","696 Georgia Washington Rd, Pike Road, AL, 36064, USA",696 Georgia Washington Rd,PointAddress,,,"696 Georgia Washington Rd, Pike Road, Alabama, 36064",,,20,,696,,,,,,,Georgia Washington,Rd,,,,,,,,,696 Georgia Washington Rd,,,,,Pike Road,,Montgomery County,Alabama,AL,,,36064,2419,USA,United States,ENG,0,-86.101312258328,32.355391347015,-86.10172498324,32.355401992032,-86.10272498324,-86.10072498324,32.354401992032,32.356401992032,,Commercial,,696 Georgia Washington Rd.,,,,Pike Road,,Alabama,36064,,,5301321,696 Georgia Washington Rd.,Pike Road,Alabama,36064,No,Yes
34,World,M,100,A,"334 Bridlebrook Blvd, Pike Road, Alabama, 36064","334 Bridlebrook Blvd, Pike Road, AL, 36064, USA",334 Bridlebrook Blvd,PointAddress,,,"334 Bridlebrook Blvd, Pike Road, Alabama, 36064",,,20,,334,,,,,,,Bridlebrook,Blvd,,,,,,,,,334 Bridlebrook Blvd,,,,,Pike Road,,Montgomery County,Alabama,AL,,,36064,2775,USA,United States,ENG,0,-86.084338820578,32.354435013772,-86.083469030486,32.354505002664,-86.084469030486,-86.082469030486,32.353505002664,32.355505002664,,Commercial,,334 Bridlebrook Blvd.,,,,Pike Road,,Alabama,36064,,,5301340,334 Bridlebrook Blvd.,Pike Road,Alabama,36064,No,Yes
35,World,M,100,A,"13260 Edna Brake Lucas Dr, Montgomery, Alabama, 36117","13260 Edna Brake Lucas Dr, Montgomery, AL, 36117, USA",13260 Edna Brake Lucas Dr,PointAddress,,,"13260 Edna Brake Lucas Dr, Montgomery, Alabama, 36117",,,20,,13260,,,,,,,Edna Brake Lucas,Dr,,,,,,,,,13260 Edna Brake Lucas Dr,,,,,Montgomery,,Montgomery County,Alabama,AL,,,36117,5701,USA,United States,ENG,0,-86.091796954205,32.383338162854,-86.091765019154,32.381740991204,-86.092765019154,-86.090765019154,32.380740991204,32.382740991204,,Residential,,13260 Edna Brake Lucas Dr.,,,,Montgomery,,Alabama,36117,,,5301369,13260 Edna Brake Lucas Dr.,Montgomery,Alabama,36117,No,No
36,World,M,100,A,"219 Hobbie Rd, Montgomery, Alabama, 36105","219 Hobbie Rd, Montgomery, AL, 36105, USA",219 Hobbie Rd,PointAddress,,,"219 Hobbie Rd, Montgomery, Alabama, 36105",,,20,,219,,,,,,,Hobbie,Rd,,,,,,,,,219 Hobbie Rd,,,,,Montgomery,,Montgomery County,Alabama,AL,,,36105,6843,USA,United States,ENG,0,-86.291960070977,32.241645610073,-86.291879017973,32.242356982195,-86.292879017973,-86.290879017973,32.241356982195,32.243356982195,,Commercial,,219 Hobbie Rd.,,,,Montgomery,,Alabama,36105,,,5301427,219 Hobbie Rd.,Montgomery,Alabama,36105,No,No
37,World,M,100,A,"5225 Patricia Ln, Montgomery, Alabama, 36108","5225 Patricia Ln, Montgomery, AL, 36108, USA",5225 Patricia Ln,PointAddress,,,"5225 Patricia Ln, Montgomery, Alabama, 36108",,,20,,5225,,,,,,,Patricia,Ln,,,,,,,,,5225 Patricia Ln,,,,,Montgomery,,Montgomery County,Alabama,AL,,,36108,5357,USA,United States,ENG,0,-86.343706085507,32.301746286592,-86.342936040062,32.301771013207,-86.343936040062,-86.341936040062,32.300771013207,32.302771013207,,Commercial,,5225 Patricia Lane,,,,Montgomery,,Alabama,36108,,,5301452,5225 Patricia Lane,Montgomery,Alabama,36108,Yes,No
38,World,M,100,A,"4655 Gateway Dr, Montgomery, Alabama, 36108","4655 Gateway Dr, Montgomery, AL, 36108, USA",4655 Gateway Dr,PointAddress,,,"4655 Gateway Dr, Montgomery, Alabama, 36108",,,20,,4655,,,,,,,Gateway,Dr,,,,,,,,,4655 Gateway Dr,,,,,Montgomery,,Montgomery County,Alabama,AL,,,36108,4923,USA,United States,ENG,0,-86.383022072904,32.309816257241,-86.383892030634,32.309803013834,-86.384892030634,-86.382892030634,32.308803013834,32.310803013834,,Commercial,,4655 Gateway Dr.,,,,Montgomery,,Alabama,36108,,,5301438,4655 Gateway Dr.,Montgomery,Alabama,36108,Yes,No
